
,X,Y,Z,time
,0.49,-3.36,-2.2,2025-03-17T15:10:26.980511Z
,0.79,-3.48,-2.44,2025-03-17T15:10:28.116821Z
,0.55,-3.66,-2.44,2025-03-17T15:10:29.186791Z
,0.61,-3.66,-2.44,2025-03-17T15:10:30.292396Z
,0.18,-3.66,-2.26,2025-03-17T15:10:31.397098Z
,0.73,-3.66,-2.32,2025-03-17T15:10:32.50389Z
,0.67,-3.54,-2.32,2025-03-17T15:10:33.609428Z
,0.61,-3.3,-2.26,2025-03-17T15:10:34.715554Z
,0.61,-3.42,-2.38,2025-03-17T15:10:35.815259Z
,0.92,-3.72,-2.14,2025-03-17T15:10:36.923387Z
,0.67,-3.54,-2.01,2025-03-17T15:10:38.028431Z
,18.86,-5,-1.65,2025-03-17T15:10:39.133201Z
,0.79,-3.54,-2.5,2025-03-17T15:10:40.249289Z
,0.92,-3.54,-2.26,2025-03-17T15:10:41.344089Z
,1.71,-3.48,-1.65,2025-03-17T15:10:42.448671Z
,0.73,-3.72,-2.2,2025-03-17T15:10:43.556585Z
,0.12,-3.66,-2.01,2025-03-17T15:10:44.658596Z
,0.73,-3.66,-2.62,2025-03-17T15:10:45.762257Z
,0.61,-3.66,-2.62,2025-03-17T15:10:46.866941Z
,1.34,-3.72,-2.56,2025-03-17T15:10:47.968645Z
,0.67,-3.6,-2.44,2025-03-17T15:10:49.084708Z
,0.37,-3.42,-2.26,2025-03-17T15:10:50.19058Z
,0.73,-3.3,-2.62,2025-03-17T15:10:51.290448Z
,0.67,-3.36,-2.44,2025-03-17T15:10:52.397852Z
,0.49,-3.6,-1.95,2025-03-17T15:10:53.498854Z
,0.06,-3.3,-2.5,2025-03-17T15:10:54.604852Z
,0.73,-3.54,-2.38,2025-03-17T15:10:55.708163Z
,0.98,-3.48,-2.26,2025-03-17T15:10:56.811768Z
,0.67,-3.36,-2.32,2025-03-17T15:10:57.923143Z
,0.61,-3.54,-2.32,2025-03-17T15:10:59.027823Z
,0.79,-3.6,-2.32,2025-03-17T15:11:00.147066Z
,0.79,-3.42,-2.38,2025-03-17T15:11:01.235928Z
,0.67,-3.66,-2.26,2025-03-17T15:11:02.337723Z
,-0.18,-3.85,-2.5,2025-03-17T15:11:03.442849Z
,0.85,-3.42,-2.14,2025-03-17T15:11:04.549148Z
,0.79,-4.03,-2.38,2025-03-17T15:11:05.65433Z
,0.73,-3.42,-2.44,2025-03-17T15:11:06.759896Z
,0.79,-3.66,-2.44,2025-03-17T15:11:07.864049Z
,0.61,-3.48,-2.44,2025-03-17T15:11:08.968388Z
,0.49,-3.6,-2.38,2025-03-17T15:11:10.071303Z
,1.22,-3.23,-2.32,2025-03-17T15:11:11.176802Z
,-0.18,-3.48,-2.62,2025-03-17T15:11:12.276885Z
,0.61,-3.48,-2.5,2025-03-17T15:11:13.385975Z
,0.49,-3.48,-2.38,2025-03-17T15:11:14.497028Z
,0.73,-3.42,-2.38,2025-03-17T15:11:15.59672Z
,0.43,-3.72,-2.44,2025-03-17T15:11:16.700604Z
,0.49,-3.36,-2.62,2025-03-17T15:11:17.801436Z
,1.22,-3.97,-2.32,2025-03-17T15:11:18.916038Z
,1.1,-3.11,-2.56,2025-03-17T15:11:20.010825Z
,0.79,-4.03,-2.5,2025-03-17T15:11:21.117644Z
,0.24,-3.23,-2.5,2025-03-17T15:11:22.225585Z
,0.43,-3.42,-1.89,2025-03-17T15:11:23.329166Z
,0.12,-3.6,-2.56,2025-03-17T15:11:24.432067Z
,0.31,-3.97,-2.32,2025-03-17T15:11:25.53709Z
,1.04,-3.17,-2.5,2025-03-17T15:11:26.647132Z
,1.53,-3.85,-2.01,2025-03-17T15:11:27.752474Z
,1.16,-3.48,-2.26,2025-03-17T15:11:28.859191Z
,1.04,-3.36,-2.32,2025-03-17T15:11:29.958584Z
,0.67,-3.97,-2.56,2025-03-17T15:11:31.061382Z
,0.85,-3.48,-2.5,2025-03-17T15:11:32.167666Z
,1.16,-3.78,-2.26,2025-03-17T15:11:33.273221Z
,0.67,-3.78,-2.26,2025-03-17T15:11:34.377065Z
,1.89,-2.62,-2.44,2025-03-17T15:11:35.480672Z
,1.53,-5.07,-2.38,2025-03-17T15:11:36.587578Z
,0.18,-3.66,-2.26,2025-03-17T15:11:37.689753Z
,0,-3.42,-2.44,2025-03-17T15:11:38.797794Z
,0.49,-3.54,-2.44,2025-03-17T15:11:39.902914Z
,0.85,-3.48,-2.26,2025-03-17T15:11:41.008817Z
,0.79,-3.72,-2.38,2025-03-17T15:11:42.118685Z
,1.34,-3.48,-2.44,2025-03-17T15:11:43.215256Z
,0.61,-3.54,-2.44,2025-03-17T15:11:44.344079Z
,0.61,-3.66,-2.44,2025-03-17T15:11:45.428819Z
,1.71,-3.11,-2.08,2025-03-17T15:11:46.546824Z
,0,-3.05,-2.2,2025-03-17T15:11:47.638808Z
,0.55,-3.6,-2.26,2025-03-17T15:11:48.748877Z
,0.43,-3.36,-2.44,2025-03-17T15:11:49.851503Z
,0.61,-3.54,-2.32,2025-03-17T15:11:50.959229Z
,0.67,-3.42,-2.32,2025-03-17T15:11:52.061435Z
,0.67,-3.36,-2.2,2025-03-17T15:11:53.162213Z
,1.4,-4.03,-2.14,2025-03-17T15:11:54.286532Z
,0.18,-3.78,-2.69,2025-03-17T15:11:55.376596Z
