time,value
2025-03-27T03:50:04.433047193Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:05.425660081Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:06.573685529Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:07.454794333Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:08.464933323Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:09.484647375Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:10.48568223Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:11.574724932Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:12.584695048Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:13.563037921Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:14.585561853Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:15.512847863Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:16.564870772Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:17.544859888Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:18.554913053Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:19.542802566Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:20.535781793Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:21.545746092Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:22.554835296Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:23.562888723Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:24.566949839Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:25.574763649Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:26.585389475Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:27.59471819Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:28.594930501Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:29.612752538Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:30.614930291Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:31.625892689Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:32.642771833Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:33.63310535Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:34.650540731Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:35.662623267Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:36.67365667Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:37.682913309Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:38.674933173Z,"{""lat"":30.5163625,""lon"":76.659896}"
2025-03-27T03:50:39.703082982Z,"{""lat"":30.5163625,""lon"":76.659896}"
